Kembla Grange Station,253010,150.8173407,-34.47021836,10101379,02 4223 5488,"Grange St, Kembla Grange",2003|2004|2005|2006,3010|3011|3016,1001
Kiama Station,253330,150.8546947,-34.67251778,10101386,02 4223 5613,"Railway Pde, Kiama",2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2013,3001|3003|3005|3008|3009|3011,1001|1002|1005
Killara Station,207110,151.1616474,-33.76540899,10101120,02 9847 8440,"Culworth Ave, Killara",2003|2004|2005|2006|2015|2007|2008|2009,3003|3008|3010|3011,1001|1002
Kings Cross Station,201110,151.2223342,-33.87454091,10101107,02 9379 1204,"Victoria St, Kings Cross",2004|2005|2006|2015|2007,3001|3002|3005|3006|3008|3009|3011,1001|1002|1005
Kingsgrove Station,220810,151.1004839,-33.94063602,10101412,02 9563 7623,"Mashman Ave, Kingsgrove",2001|2002|2003|2004|2005|2006|2015|2007|2008|2012,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Kingswood Station,274720,150.7198236,-33.7582512,10101251,02 4780 3814,"Great Western Hwy, Kingswood",2001|2002|2003|2004|2005|2015|2007|2008|2009|2011|2013,3003|3006|3008|3010|3011,1001|1002|1005
Kirrawee Station,223230,151.0713153,-34.03501535,10101346,02 9522 1281,"Oak Rd, Kirrawee",2004|2005|2006|2015|2007|2008|2010|2011,3001|3003|3005|3006|3008|3009|3011,1001|1005
Kogarah Station,221710,151.1326415,-33.96214931,10101336,02 9563 7273,"Railway Pde, Kogarah",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009|2011,3001|3002|3003|3005|3006|3008|3009|3011,1001|1002|1005
Koolewong Station,225620,151.318655,-33.46697442,10101136,02 4349 9230,"Brisbane Water Dr, Koolewong",2003|2004|2005|2006|2007|2008|2011,3004|3010|3011|3014,1001|1002
Kotara Station,228910,151.6984933,-32.94139627,10101158,02 4962 9437,"Park Ave, Kotara",2004|2007,3008|3010|3011|3016,1001|1002
Lakemba Station,219510,151.0759555,-33.92012699,10101398,02 9563 7549,"The Boulevarde, Lakemba",2003|2004|2005|2006|2015|2007|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Lapstone Station,275030,150.6427966,-33.77369788,10101254,02 4780 3813,"Explorers Rd, Lapstone",2003|2004|2006|2007|2008|2009,3008|3010|3011|3017,1001
Lawson Station,278310,150.4298244,-33.71914485,10101264,02 4759 1052,"Loftus St, Lawson",2003|2004|2006|2007|2008|2009|2010,3008|3010|3011|3017,1001|1002|1005
Leightonfield Station,216310,150.9849671,-33.8815017,10101406,02 9379 7704,"Christine Rd, Leightonfield",2003|2004|2005|2006|2007|2008,3008|3009|3010|3011,1001|1002
Leppington Station,217933,150.8081,-33.9544,10101448,02 9765 1444,"Rickard Rd, Leppington",2002|2003|2004|2005|2006|2015|2007|2008|2009|2011|2013,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Leumeah Station,256010,150.8300507,-34.0511705,10101295,02 4629 0847,"O'Sullivan Rd, Leumeah",2001|2002|2003|2004|2005|2006|2007|2008|2009,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Leura Station,278010,150.3302704,-33.71172185,10101267,02 4780 3933,"Railway Pde, Leura",2003|2004|2006|2015|2007|2008,3008|3010|3011|3017,1001|1002|1005
Lewisham Station,204920,151.1472725,-33.89327853,10101211,02 9752 8029,"Cnr Railway Tce & Victoria St, Lewisham",2004|2005|2006|2015|2007|2008,3003|3008|3009|3010|3011,1001|1002
